Uploaded On,Agency,Description of Requirements,Value,Award Type,Award Status,Procurement Identifier,Modification Number,Reason for Modification,Date Signed,Agency ID,Office ID,Office Name,Vendor ID,Vendor Legal Business Name,Vendor Congressional District,Vendor Zip+4,Vendor Business Types,Vendor Socio-Economic Data,Vendor Certifications,Product/Service Code,Product/Service Description,NAICS Code,NAICS Description,FPDS Source Link
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Experian Velocity,"$1,119,250 ",Definitive Contract,Final,2036 20343024C00001,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,JZDMDG543QU1,"EXPERIAN INFORMATION SOLUTIONS,",CALIFORNIA 47,926267037,"Corporate Entity, Not Tax Exempt",,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,561450,CREDIT BUREAUS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024C00001&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Consumer Credit Information Panel IDIQ Contract - Auto Loan Survey,"$899,985 ",Delivery/Task Order,Final,20343024F00052,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,JZDMDG543QU1,"EXPERIAN INFORMATION SOLUTIONS,",CALIFORNIA 47,926267037,"Corporate Entity, Not Tax Exempt
For Profit Organization
Foreign Owned",,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,561450,CREDIT BUREAUS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00052&modNumber=P00001&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Termination for the Convenience of the Government,"$865,930 ",Definitive Contract,Final,955F9531CB21C0020,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,98,204050001,,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0020&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"Translation and Interpretation Services - Termination for
Convenience","$783,300 ",BPA Call,Final,955F9531CB22F0048,P00008,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,JT4DBMHH58F3,HUMAN TOUCH TRANSLATIONS LTD.,NEW YORK 03,110303022,"Corporate Entity, Not Tax Exempt
Subchapter S Corporation","Women-Owned Business
Women-Owned Small Business",,R608,SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTE,541930,TRANSLATION AND INTERPRETATION SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0048&modNumber=P00008&idvAgencyID=&idvPIID=9531CB22A0001&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,National Institute for Trial Advocacy (NITA) BPA,"$730,000 ",BPA,Final,20343023A00001,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,X3PRZEUFX357,NATIONAL INSTITUTE FOR TRIAL ADVO,COLORADO 02,800271130,"Corporate Entity, Tax Exempt",,,U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEM,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023A00001&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=IDV
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Termination for the Convenience of the Government,"$625,730 ",Definitive Contract,Final,955F9531CB21C0022,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,M8EJHX6AA3F1,"CRA INTERNATIONAL, INC.",MASSACHUSETTS 07,021165021,"Corporate Entity, Not Tax Exempt",,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0022&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,CLEAR Investigation Software,"$602,834 ",Delivery/Task Order,Final,20343024F00053,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,L997DB4PEJL8,WEST PUBLISHING CORPORATION,MINNESOTA 02,551212498,"Corporate Entity, Not Tax Exempt",,,R612,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEV,519130,INTERNET PUBLISHING AND BROADCASTING AND W,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00053&modNumber=P00002&idvAgencyID=&idvPIID=GS02F026DA&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Consumer Credit Information Panel Auto Finance Data Collection,"$576,384 ",Delivery/Task Order,Final,2036 20343024F00034,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,JZDMDG543QU1,"EXPERIAN INFORMATION SOLUTIONS,",CALIFORNIA 47,926267037,"Corporate Entity, Not Tax Exempt",,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,561450,CREDIT BUREAUS,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00034&modNumber=P00002&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Expert Contract - HMDA Analysis - Termination for Convenience,"$564,580 ",Definitive Contract,Final,955F9531CB21C0024,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,98,204050001,For Profit Organization,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0024&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,YubiEnterprise Compliance Tier Plus Plan,"$512,500 ",Delivery/Task Order,Final,2036 20343023F00019,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,DJACUETFQUL8,"GOVSMART, INC.",VIRGINIA 05,229035203,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
All Awards
For Profit Organization
Subchapter S Corporation","SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023F00019&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD11B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Nuvolo IWMS Licenses,"$467,095 ",Delivery/Task Order,Final,20343021F00033,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,UYLVJZ49BFC6,"4 STAR TECHNOLOGIES, INC.",VIRGINIA 02,234515898,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",SBA Certified HUBZone Firm,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021F00033&modNumber=P00005&idvAgencyID=&idvPIID=NNG15SD06B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Cisco SmartNet Maintenance - Termination for Convenience,"$446,087 ",Delivery/Task Order,Final,955F9531CB24F0075,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,JEANDJTZ8HJ3,"FCN, INC.",MARYLAND 08,208521741,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,7B20,IT AND TELECOM - HIGH PERFORMANCE COMPUTE (,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0075&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SC71B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"New Expert Witness Contract - Telephone Surveys - Termination for
(Limit 250 characters)
Convenience","$421,313 ",Definitive Contract,Final,955F9531CB21C0019,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,F2X9NCBCJJ55,AUS MARKETING RESEARCH SYSTEM,PENNSYLVANIA 05,193422276,"Corporate Entity, Not Tax Exempt",,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0019&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,IBM i2 Analyst Notebook Licenses and Software Subscription for CFPB,"$401,733 ",Delivery/Task Order,Final,2036 20343020F00068,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,R98MW4ZKUUK3,"GOVERNMENT ACQUISITIONS, INC.",OHIO 01,452021400,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,7030,INFORMATION TECHNOLOGY SOFTWARE,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343020F00068&modNumber=P00006&idvAgencyID=&idvPIID=NNG15SD23B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,OFLEO/ENF Foreclosure Data - Termination for Convenience - Full,"$341,150 ",Delivery/Task Order,Final,955F9531CB24F0085,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,EJJMMJHYDFH6,SOFTWARE INFORMATION RESOURCE,DISTRICT OF COLUMBIA 98,200372500,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business",Self-Certified Small Disadvantaged Business,R402,SUPPORT- PROFESSIONAL: REAL ESTATE BROKERA,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0085&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD74B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"Mobile Intelligence Data Platform - Termination for Convenience of
the Government - Complete","$321,000 ",Purchase Order,Final,955F9531CB23P0014,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,DRMDXFQJMTU7,"SOFTTHINK SOLUTIONS, INC",VIRGINIA 10,201753017,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",7H20,IT AND TELECOM - PLATFORM PRODUCTS: DATABAS,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23P0014&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"Mortgage Rate Lock Data - Termination for the Government's
(Limit 250 characters)
Convenience - Full","$291,950 ",Purchase Order,Final,955F9531CB24P0021,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,UJKDGD5MJ4R1,"OPTIMAL BLUE, LLC",TEXAS 04,750243357,"Corporate Entity, Not Tax Exempt",,,B506,SPECIAL STUDIES/ANALYSIS- DATA (OTHER THAN SC,518210,"COMPUTING INFRASTRUCTURE PROVIDERS, DATA P",https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24P0021&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Compensation and Consulting Expert - termination,"$288,210 ",Definitive Contract,Final,955F9531CB21C0027,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,M8EJHX6AA3F1,"CRA INTERNATIONAL, INC.",MASSACHUSETTS 07,021165021,"Corporate Entity, Not Tax Exempt",,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0027&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Termination for the Convenience of the Government,"$279,000 ",Definitive Contract,Final,955F9531CB21C0026,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,HMDGQXG79816,PAYMENT INNOVATION & REGULATION,GEORGIA 06,300624869,"For Profit Organization
Limited Liability Corporation",,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0026&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Accurint Government Plus Licenses,"$270,900 ",Delivery/Task Order,Final,20343024F00048,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,LKAAJG8KK4U1,RELX INC,OHIO 10,453424425,"Corporate Entity, Not Tax Exempt",For Profit Organization,,R612,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEV,519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATIO,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00048&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0035&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Virtual Anonymous Workstation - Termination for Convenience,"$243,341 ",Definitive Contract,Final,955F9531CB24C0013,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,X1JJYEW4HAN9,FOUR LLC,VIRGINIA 11,201716354,"Partnership or Limited Liability Partnership
For Profit Organization
Limited Liability Corporation",,,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24C0013&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,AITE Group Research Services,"$241,235 ",Purchase Order,Final,2036 20343022P00011,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,LL1JYJBML278,AITE GROUP LLC,MASSACHUSETTS 14,021101130,"Partnership or Limited Liability Partnership, For Profit Organization, Limited Liability Corporation",,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,519130,INTERNET PUBLISHING AND BROADCASTING AND W,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022P00011&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Barrier Analysis Services - Termination for Convenience,"$218,804 ",BPA Call,Final,955F9531CB24F0078,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,PLSZM1MAB7Y8,"FEDERAL MANAGEMENT PARTNERS, L",VIRGINIA 08,222062283,"Corporate Entity, Not Tax Exempt
For Profit Organization
Limited Liability Corporation",,,R799,SUPPORT- MANAGEMENT: OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0078&modNumber=P00001&idvAgencyID=&idvPIID=9531CB24A0007&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Expert Contract - Web Surveys - Termination for Convenience,"$209,452 ",Definitive Contract,Final,955F9531CB21C0016,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,98,204050001,For Profit Organization,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0016&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Onsite Procurement Training,"$207,137 ",BPA,Final,20343020A00002,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,GMQFM999K2E5,"STAFFORD CONSULTING COMPANY, IN",VIRGINIA 11,221023470,"Corporate Entity, Not Tax Exempt","Service-Disabled Veteran-Owned Business
Veteran-Owned Business",,U099,EDUCATION/TRAINING- OTHER,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343020A00002&modNumber=P00001&idvAgencyID=&idvPIID=GS00F283GA&contractType=IDV
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,,"$191,789 ",Definitive Contract,Final,955F9531CB19C0009,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,98,204050001,For Profit Organization,,,R418,SUPPORT- PROFESSIONAL: LEGAL,541720,RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIE,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB19C0009&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,ProQuest Digital Content,"$170,492 ",Delivery/Task Order,Final,20343024F00009,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,J1RFEVPBPU43,PROQUEST LLC,MICHIGAN 06,481083218,"Corporate Entity, Not Tax Exempt",,,R612,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEV,519290,WEB SEARCH PORTALS AND ALL OTHER INFORMATIO,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00009&modNumber=P00002&idvAgencyID=&idvPIID=03310323D0024&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"Legal Support Services - Paralegal Services - Termination for
(Limit 250 characters)
Convenience of the Government -Full","$157,560 ",Delivery/Task Order,Final,955F 9531CB24F0035,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,T3XMNLBJ6N33,"JURISOLUTIONS, INC.",PENNSYLVANIA 03,191021725,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",Self-Certified Small Disadvantaged Business,R418,SUPPORT- PROFESSIONAL: LEGAL,541199,ALL OTHER LEGAL SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB24F0035&modNumber=P00002&idvAgencyID=&idvPIID=9531CB21D0004&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,,"$151,277 ",,,,,,,,,,,,,,,,,,,,,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00042&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD60B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Closeout Mod.,"$151,000 ",Definitive Contract,Final,955F9531CB20C0010,P00002,CLOSE OUT,2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,R418,SUPPORT- PROFESSIONAL: LEGAL,922130,LEGAL COUNSEL AND PROSECUTION,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20C0010&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"Translation and Interpretation Services BPA Call - Supervision
(Limit 250 characters)
Examinations - Termination for Convenience
Current: 105","$150,000 ",BPA Call,Final,955F9531CB25F0007,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,JT4DBMHH58F3,HUMAN TOUCH TRANSLATIONS LTD.,NEW YORK 03,110303022,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,R608,SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTE,541930,TRANSLATION AND INTERPRETATION SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB25F0007&modNumber=P00001&idvAgencyID=&idvPIID=9531CB22A0001&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Citrix Maintenance Renewal,"$125,655 ",Delivery/Task Order,Final,2036 20343024F00019,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,HQAJMSZDK666,"ARCHITECHTURE SOLUTIONS, LLC",VIRGINIA 11,220300972,Partnership or Limited Liability Partnership,"Asian-Pacific American Owned
Service-Disabled Veteran-Owned Business
Veteran-Owned Business
Self-Certified Small Disadvantaged Business",,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00019&modNumber=P00001&idvAgencyID=&idvPIID=NNG15SD42B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,National Institute for Trial Advocacy (NITA) BPA Order,"$123,195 ",BPA Call,Final,20343024F00014,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,X3PRZEUFX357,NATIONAL INSTITUTE FOR TRIAL ADVO,COLORADO 02,800271130,"Corporate Entity, Tax Exempt",Non Profit Organization,,U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEM,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00014&modNumber=P00003&idvAgencyID=&idvPIID=20343023A00001&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"LinkedIn Recruiter Licenses for the Office of Enforcement
Investigators","$117,153 ",Delivery/Task Order,Final,20343022F00042,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,FBRMCGPMN963,ENTERPRISE TECHNOLOGY SOLUTION,MARYLAND 04,207401346,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business",SBA Certified HUBZone Firm,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,541519,OTHER COMPUTER RELATED SERVICES,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00042&modNumber=P00004&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,"External Training Courses - AMA Talent Management-
(Limit 250 characters)","$110,250 ",Delivery/Task Order,Final,2036 20343022F00016,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,H56NAR9QFPD5,AMERICAN MANAGEMENT ASSOCIATIO,NEW YORK 12,100197434,"Line Of Business
Educational Institution",,,U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEM,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00016&modNumber=P00003&idvAgencyID=&idvPIID=GS02F0092R&contractType=AWARD
2/14/25,CONSUMER FINANCIAL PROTECTION BUREAU,Arbitration Services - termination,"$100,000 ",Definitive Contract,Final,955F9531CB23C0019,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,GAHMANU8RPA7,IRA F JAFFE,MARYLAND 08,208542100,Sole Proprietorship,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0019&modNumber=P00001&idvAgencyID=&idvPIID=&contractType=AWARD
