Agency,Description,Uploaded On,Link,Value,basic_contract_info_idv_or_award_type,basic_contract_info_idv_or_award_status,basic_contract_info_procurement_identifier,basic_contract_info_modification_number,basic_contract_info_reason_for_modification,basic_contract_info_date_signed,agency_info_contracting_office_agency_id,agency_info_contracting_office_office_id,agency_info_contracting_office_office_name,agency_info_funding_office_agency_id,agency_info_funding_office_agency_name,agency_info_funding_office_office_id,agency_info_funding_office_office_name,contractor_info_unique_entity_id,contractor_info_legal_business_name,contractor_info_congressional_district,contractor_info_zip,contractor_info_business_types,contractor_info_socio_economic_data,contractor_info_certifications,contract_details_performance_start_date,contract_details_last_date_to_order,contract_details_major_program,contract_details_product_service_code,contract_details_product_service_description,contract_details_naics_code,contract_details_naics_description,contract_details_requirement_description,processing_error
CONSUMER FINANCIAL PROTECTION BUREAU,CYBERSECURITY SUPPORT SERVICES BPA ORDER - SAFEGUARDS AND RISK MANAGEMENT (SRM),2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00002&modNumber=P00006&idvAgencyID=&idvPIID=20343023A00006&contractType=AWARD,"$10,818,787 ",BPA Call,Final,20343024F00002,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,JY2BDT2K58Z6,MANTECH ADVANCED SYSTEMS INTER,VIRGINIA 11,201714839,"Corporate Entity, Not Tax Exempt",,,10/16/23,,,DJ01,IT AND TELECOM - SECURITY AND COMPLIANCE SUP,541519,OTHER COMPUTER RELATED SERVICES,"Cybersecurity Support Services BPA Order - Safeguards and Risk
Management (SRM)",
CONSUMER FINANCIAL PROTECTION BUREAU,CYBERSECURITY SUPPORT SERVICES BPA ORDER - SECURITY ARCHITECTURE AND ENGINEERING (SAE),2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00005&modNumber=P00004&idvAgencyID=&idvPIID=20343023A00003&contractType=AWARD,"$5,405,885 ",BPA Call,Final,20343024F00005,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,F9KSDU7L9VP6,DELOITTE & TOUCHE LLP,VIRGINIA 08,222091742,"Partnership or Limited Liability Partnership
For Profit Organization",,,10/26/23,,,DJ01,IT AND TELECOM - SECURITY AND COMPLIANCE SUP,541519,OTHER COMPUTER RELATED SERVICES,"Cybersecurity Support Services BPA Order - Security Architecture
and Engineering (SAE)",
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0016&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA18D003Z&contractType=IDV,"$5,000,000 ",BPA,Final,955F 9531CB21A0016,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,VNAYDLRGSKU3,"URBAN INSTITUTE,THE",98,200242131,"Corporate Entity, Tax Exempt",,,9/14/21,2/11/25,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Termination for the Convenience of the Government,
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0015&modNumber=P00003&idvAgencyID=&idvPIID=47QRAA18D00DQ&contractType=IDV,"$5,000,000 ",BPA,Final,955F9531CB21A0015,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,EPE8N2747L14,TREWON TECHNOLOGIES LLC,VIRGINIA 10,201764475,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
SBA Certified HUBZone Firm
Self-Certified Small Disadvantaged Business",9/2/21,2/11/25,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Termination for the Convenience of the Government,
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0019&modNumber=P00002&idvAgencyID=&idvPIID=47QRAA19D00BV&contractType=IDV,"$5,000,000 ",BPA,Final,955F9531CB21A0019,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,V71FRUGWJMM3,ENCOMPASS LLC,MARYLAND 08,209105644,"Corporate Entity, Not Tax Exempt",Women-Owned Business,,9/2/21,2/11/25,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Termination for the Convenience of the Government,
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0017&modNumber=P00002&idvAgencyID=&idvPIID=GS00F009DA&contractType=IDV,"$5,000,000 ",BPA,Final,955F9531CB21A0017,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,NVUWAFWQ57S5,"WESTAT, INC.",MARYLAND 08,208503129,"Corporate Entity, Tax Exempt",,,9/9/21,2/11/25,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Termination for the Convenience of the Government,
CONSUMER FINANCIAL PROTECTION BUREAU,RESEARCH AND EVALUATION SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0012&modNumber=P00002&idvAgencyID=&idvPIID=GS00F216GA&contractType=IDV,"$5,000,000 ",BPA,Final,955F9531CB21A0012,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,LT42VRTKZGS9,2M RESEARCH SERVICES LLC,TEXAS 25,760115522,"Corporate Entity, Not Tax Exempt",Black American Owned,SBA Certified 8(a) Program Participant,9/7/21,2/11/25,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Termination for the Convenience of the Government,
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0013&modNumber=P00002&idvAgencyID=&idvPIID=GS00F252CA&contractType=IDV,"$5,000,000 ",BPA,Final,955F9531CB21A0013,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,C9S1NLQ67626,ABT GLOBAL LLC,MARYLAND 08,208524907,"Corporate Entity, Not Tax Exempt",,,9/7/21,2/11/25,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Termination for the Convenience of the Government,
CONSUMER FINANCIAL PROTECTION BUREAU,EVALUATION AND RESEARCH SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21A0014&modNumber=P00002&idvAgencyID=&idvPIID=GS00F348CA&contractType=IDV,"$5,000,000 ",BPA,Final,955F9531CB21A0014,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,CSPNRK2TA2X3,FORS MARSH GROUP LLC,VIRGINIA 08,222031665,"Corporate Entity, Not Tax Exempt",,,9/2/21,2/11/25,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,541910,MARKETING RESEARCH AND PUBLIC OPINION POLL,Termination for the Convenience of the Government,
CONSUMER FINANCIAL PROTECTION BUREAU,CONTRACTOR SUPPORT SERVICES FOR EDITORIAL SUPPORT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0078&modNumber=P00006&idvAgencyID=&idvPIID=9531CB23A0018&contractType=AWARD,"$4,457,776 ",BPA Call,Final,955F9531CB23F0078,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,M1KKZ8DT7VT1,FORUM ONE COMMUNICATIONS CORP,VIRGINIA 08,222024823,"For Profit Organization
Subchapter S Corporation",,,7/10/23,,,R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,541519,OTHER COMPUTER RELATED SERVICES,"The purpose of this call is to obtain Contractor support
services for editorial support to include but is not limited
to drafting, editing, managing, and analyzing digital and
i t t t ll i l di di ti d",
CONSUMER FINANCIAL PROTECTION BUREAU,508 SUPPORT SERVICES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23C0008&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$3,713,712 ",Definitive Contract,Final,955F9531CB23C0008,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,GPVGL2T8SN53,AMA CONSULTING LLC,MARYLAND 04,207066235,Partnership or Limited Liability Partnership,"Minority-Owned Business
Black American Owned
Women-Owned Business
Women-Owned Small Business","SBA Certified 8(a) Program Participant
DoT Certified Disadvantaged Business Enterprise
Self-Certified Small Disadvantaged Business",4/3/23,,,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICA,541512,COMPUTER SYSTEMS DESIGN SERVICES,508 Support Services - termination,
CONSUMER FINANCIAL PROTECTION BUREAU,CYBERSECURITY SUPPORT SERVICES - INFORMATION SECURITY STANDARDS (ISS),2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00004&modNumber=P00004&idvAgencyID=&idvPIID=20343023A00005&contractType=AWARD,"$3,441,633 ",BPA Call,Final,2036 20343024F00004,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,U17XQAKKMPT7,"GUNNISON CONSULTING GROUP, INC.",VIRGINIA 11,220314516,"Corporate Entity, Not Tax Exempt",,,10/16/23,,,DJ01,IT AND TELECOM - SECURITY AND COMPLIANCE SUP,541519,OTHER COMPUTER RELATED SERVICES,"Cybersecurity Support Services - Information Security Standards
(ISS)",
CONSUMER FINANCIAL PROTECTION BUREAU,IT RESEARCH & ADVISORY SUBSCRIPTIONS,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343022F00009&modNumber=P00007&idvAgencyID=&idvPIID=47QTCA18D008L&contractType=AWARD,"$3,437,246 ",Delivery/Task Order,Final,2036 20343022F00009,P00007,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,CFALLJBGZ697,"GARTNER, INC.",CONNECTICUT 04,069027700,"Corporate Entity, Not Tax Exempt",,,1/1/22,,,DF10,IT AND TELECOM - IT MANAGEMENT AS A SERVICE,541519,OTHER COMPUTER RELATED SERVICES,IT Research & Advisory Subscriptions,
CONSUMER FINANCIAL PROTECTION BUREAU,ECONOMIC ANAYSIS EXPERT SUPPORT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB20C0016&modNumber=P00007&idvAgencyID=&idvPIID=&contractType=AWARD,"$3,299,900 ",Definitive Contract,Final,955F9531CB20C0016,P00007,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,DISTRICT OF COLUMBIA 98,204050001,,,,9/29/20,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHN",Economic Analysis Expert - termination,
CONSUMER FINANCIAL PROTECTION BUREAU,WESTLAW EDGE LEGAL DATABASE SUBSCRIPTION,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00008&modNumber=P00002&idvAgencyID=&idvPIID=GS02F026DA&contractType=AWARD,"$2,664,855 ",Delivery/Task Order,Final,2036 20343024F00008,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/13/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,L997DB4PEJL8,WEST PUBLISHING CORPORATION,MINNESOTA 02,551212498,"Corporate Entity, Not Tax Exempt",,,1/1/24,,,R612,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEV,519130,INTERNET PUBLISHING AND BROADCASTING AND W,Westlaw Edge Legal Database Subscription,
CONSUMER FINANCIAL PROTECTION BUREAU,AMERICAN BANKERS ASSOCIATION TRAINING SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021A00005&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=IDV,"$1,673,640 ",BPA,Final,20343021A00005,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,EA8KW9AGBPF6,AMERICAN BANKERS ASSOCIATION,DISTRICT OF COLUMBIA 98,200363902,"Corporate Entity, Tax Exempt",Non Profit Organization,,6/16/21,6/15/26,,U006,EDUCATION/TRAINING- VOCATIONAL/TECHNICAL,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,American Bankers Association Training Services BPA,
CONSUMER FINANCIAL PROTECTION BUREAU,AUTO-LOAN-SERVICING EXPERT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0007&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,"$1,619,850 ",Definitive Contract,Final,955F9531CB21C0007,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,DISTRICT OF COLUMBIA 98,204050001,For Profit Organization,,,1/5/21,,,R418,SUPPORT- PROFESSIONAL: LEGAL,922130,LEGAL COUNSEL AND PROSECUTION,AUTO-LOAN-SERVICING EXPERT - termination,
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT WITNESS AND TESTING SERVICES BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343021A00007&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=IDV,"$1,396,381 ",BPA,Final,20343021A00007,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,98,204050001,,,,9/20/21,3/19/25,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541690,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SE,Expert Witness and Testing Services BPA,
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERT WITNESS,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0025&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$1,380,420 ",Definitive Contract,Final,955F9531CB21C0025,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,EAWFFKL7KQJ4,"ANALYSIS GROUP, INC.",,021997667,"Corporate Entity, Not Tax Exempt",,,7/15/21,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,Termination for Convenience of the Government - Complete,
CONSUMER FINANCIAL PROTECTION BUREAU,TABLEAU LICENSES,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0076&modNumber=P00003&idvAgencyID=&idvPIID=NNG15SD76B&contractType=AWARD,"$1,244,995 ",Delivery/Task Order,Final,955F9531CB23F0076,P00003,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,FBRMCGPMN963,ENTERPRISE TECHNOLOGY SOLUTION,MARYLAND 04,207401346,"Corporate Entity, Not Tax Exempt","Minority-Owned Business
Subcontinent Asian (Asian-Indian) American Owned
Women-Owned Business
Women-Owned Small Business",SBA Certified HUBZone Firm,6/29/23,,,7A20,IT AND TELECOM - APPLICATION DEVELOPMENT SOF,541519,OTHER COMPUTER RELATED SERVICES,Tableau Licenses - Termination for Convenience,
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER SURVEY - PILOT,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB23F0071&modNumber=P00005&idvAgencyID=&idvPIID=9531CB20A0007&contractType=AWARD,"$1,139,381 ",BPA Call,Final,955F 9531CB23F0071,P00005,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/20/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,QHBLBNKKV4U3,"ICF INCORPORATED, L.L.C.",VIRGINIA 11,201905231,"For Profit Organization
Limited Liability Corporation",,,6/19/23,,,AF11,"EDUCATION, TRAINING, EMPLOYMENT, & SOCIAL SVC",541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MAN,Consumer Survey - Pilot - Termination for Convenience - Full,
CONSUMER FINANCIAL PROTECTION BUREAU,EXPERIAN VELOCITY,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024C00001&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,"$1,119,250 ",Definitive Contract,Final,2036 20343024C00001,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,JZDMDG543QU1,"EXPERIAN INFORMATION SOLUTIONS,",CALIFORNIA 47,926267037,"Corporate Entity, Not Tax Exempt",,,8/25/22,,,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWA,561450,CREDIT BUREAUS,Experian Velocity,
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER CREDIT INFORMATION PANEL IDIQ CONTRACT - AUTO LOAN SURVEY,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00052&modNumber=P00001&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"$899,985 ",Delivery/Task Order,Final,2036 20343024F00052,P00001,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,JZDMDG543QU1,"EXPERIAN INFORMATION SOLUTIONS,",CALIFORNIA 47,926267037,"Corporate Entity, Not Tax Exempt",,,9/30/24,,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,561450,CREDIT BUREAUS,Consumer Credit Information Panel IDIQ Contract - Auto Loan Survey,
CONSUMER FINANCIAL PROTECTION BUREAU,NEW EXPERT WITNESS CONTRACT - RESEARCH FIRM,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0020&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=AWARD,"$865,930 ",Definitive Contract,Final,955F9531CB21C0020,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/21/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,KA5HQCLKUVW1,DOMESTIC AWARDEES (UNDISCLOSED,98,204050001,,,,3/10/21,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,Termination for the Convenience of the Government,
CONSUMER FINANCIAL PROTECTION BUREAU,"TRANSLATIONS, COMPLIANCE AND QUALITY REVIEW",2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB22F0048&modNumber=P00008&idvAgencyID=&idvPIID=9531CB22A0001&contractType=AWARD,"$783,300 ",BPA Call,Final,955F9531CB22F0048,P00008,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,JT4DBMHH58F3,HUMAN TOUCH TRANSLATIONS LTD.,NEW YORK 03,110303022,"Corporate Entity, Not Tax Exempt","Women-Owned Business
Women-Owned Small Business",,4/13/22,,,R608,SUPPORT- ADMINISTRATIVE: TRANSLATION AND INTE,541930,TRANSLATION AND INTERPRETATION SERVICES,"Translation and Interpretation Services - Termination for
Convenience",
CONSUMER FINANCIAL PROTECTION BUREAU,NATIONAL INSTITUTE FOR TRIAL ADVOCACY (NITA) BPA,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343023A00001&modNumber=P00004&idvAgencyID=&idvPIID=&contractType=IDV,"$730,000 ",BPA,Final,20343023A00001,P00004,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,X3PRZEUFX357,NATIONAL INSTITUTE FOR TRIAL ADVO,COLORADO 02,800271130,"Corporate Entity, Tax Exempt",,,8/1/23,2/12/25,,U005,EDUCATION/TRAINING- TUITION/REGISTRATION/MEM,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT,National Institute for Trial Advocacy (NITA) BPA,
CONSUMER FINANCIAL PROTECTION BUREAU,LITIGATION EXPERT SERVICES FOR CFPB LEGAL DIVISION,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=955F&PIID=9531CB21C0022&modNumber=P00006&idvAgencyID=&idvPIID=&contractType=AWARD,"$625,730 ",Definitive Contract,Final,955F9531CB21C0022,P00006,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/24/25,955F,9531CB,CONSUMER FINANCE PROTECTION BUREA,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,M8EJHX6AA3F1,"CRA INTERNATIONAL, INC.",MASSACHUSETTS 07,021165021,"Corporate Entity, Not Tax Exempt",,,4/28/21,,,R424,SUPPORT- PROFESSIONAL: EXPERT WITNESS,541199,ALL OTHER LEGAL SERVICES,Termination for the Convenience of the Government,
CONSUMER FINANCIAL PROTECTION BUREAU,CLEAR INVESTIGATION SOFTWARE,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00053&modNumber=P00002&idvAgencyID=&idvPIID=GS02F026DA&contractType=AWARD,"$602,834 ",Delivery/Task Order,Final,20343024F00053,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,L997DB4PEJL8,WEST PUBLISHING CORPORATION,MINNESOTA 02,551212498,"Corporate Entity, Not Tax Exempt, Manufacturer of Goods, For Profit Organization",,,9/1/24,,,R612,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEV,519130,INTERNET PUBLISHING AND BROADCASTING AND W,CLEAR Investigation Software,
CONSUMER FINANCIAL PROTECTION BUREAU,CONSUMER CREDIT INFORMATION PANEL AUTO FINANCE DATA COLLECTION,2/14/25,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=2036&PIID=20343024F00034&modNumber=P00002&idvAgencyID=&idvPIID=20343023D00001&contractType=AWARD,"$576,384 ",Delivery/Task Order,Final,2036 20343024F00034,P00002,TERMINATE FOR CONVENIENCE (COMPLETE OR PARTIAL),2/12/25,2036,203430,ARC DIV PROC SVCS - CFPB,955F,CONSUMER FINANCIAL PROTECTION BUR,9531CB,CONSUMER FINANCE PROTECTION BUREA,JZDMDG543QU1,"EXPERIAN INFORMATION SOLUTIONS,",CALIFORNIA 47,926267037,"Corporate Entity, Not Tax Exempt",,,5/15/24,,,R702,SUPPORT- MANAGEMENT: DATA COLLECTION,561450,CREDIT BUREAUS,Consumer Credit Information Panel Auto Finance Data Collection,
